EXECYEAR,DATE_START,VOLUMEDREDGED,RIVER,POOL,UP_RIV_MIL,DN_RIV_MIL,week_of_year,lead_7,lead_14,BEAI2,BRLI4,CMMI4,COPI2,DBQI4,FAII4,GGYM7,HAVI2,HNNM7,HNYI2,IL03,IL03_Tail,IL04,IL04_Tail,IL05,IL05_Tail,IL06,IL06_Tail,IL07,IL07_Tail,IL08,IL08_Tail,KHBI2,KNGI2,LSLI2,MI11,MI11_Tail,MI12,MI12_Tail,MI13,MI13_Tail,MI14,MI14_Tail,MI15,MI15_Tail,MI16,MI16_Tail,MI17,MI17_Tail,MI18,MI18_Tail,MI19,MI19_Tail,MI20,MI20_Tail,MI21,MI21_Tail,MI22,MI22_Tail,MORI2,MUSI4,PIAI2,UINI2,05552500,05527500,05585000,05446500,05583000,05570000,05555300
2010,2010-06-16T00:00:00Z,0,Illinois_Waterway,PE,230.9,157.9,24,2010-06-15T23:59:53Z,2010-06-15T23:59:46Z,439.35,524.74,573.9,443.41,594.59,546.27,486.96,442.21,468.29,446.31,538.82,506.16,505.16,491.52,483.29,462.32,458.98,449.57,444.54,444.54,437.64,437.64,534.11,443.75,449.2,603.38,594.79,592.24,587.82,583.22,575.57,572.16,562.76,561.02,550.36,544.47,541.12,537.36,537.07,527.79,526.27,518.24,490.43,483.36,482.7,476,475.25,464.52,464.02,488.97,540.02,445.25,476.63,470.7199997,515.41,451.31,573.01,466.55,488.04,528.28
2010,2010-06-02T00:00:00Z,0,Illinois_Waterway,SR,244.5,231.1,22,2010-06-01T23:59:53Z,2010-06-01T23:59:46Z,438.13,522.92,573.48,442.87,593.7,546.18,481.91,441.36,462.25,446.12,538.8,506.52,504.79,490.39,483.44,461.88,458.95,449.36,444.09,444.09,436.51,436.51,532.4,443.13,449.37,602.82,593.87,591.75,586.57,582.97,574.97,572,562.52,561.12,549.72,545.11,539.88,536.25,534.84,527.74,524.34,518.24,485.48,477.82,477.27,470.13,467.56,459.78,456.41,488.41,538.79,444.92,470.67,472.6699995,513.95,444.47,572.73,461.6,478.94,526.69
2010,2010-05-08T00:00:00Z,0,Mississippi_River,14,522.5,493.3,19,2010-05-07T23:59:53Z,2010-05-07T23:59:46Z,431.42,522.65,573.78,435.92,593.98,546.2,483.46,434.99,463.58,441.35,538.72,505.04,504.9,485.66,483.47,459.98,459.05,444.04,439.65,436.79,429.67,429.67,532.4,436.49,443.61,603.4,594.1,591.76,586.87,582.84,575.47,571.96,562.75,561.12,550.14,545.27,539.82,535.9,534.73,528.14,523.99,518.26,486.7,479.46,478.86,470.86,469.95,459.8,458.57,484.87,538.72,439.85,471.68,470.0999998,513.09,439.41,572.34,459.24,477.64,525.75
2010,2010-06-02T00:00:00Z,0,Illinois_Waterway,MA,271.3,244.5,22,2010-06-01T23:59:53Z,2010-06-01T23:59:46Z,438.13,522.92,573.48,442.87,593.7,546.18,481.91,441.36,462.25,446.12,538.8,506.52,504.79,490.39,483.44,461.88,458.95,449.36,444.09,444.09,436.51,436.51,532.4,443.13,449.37,602.82,593.87,591.75,586.57,582.97,574.97,572,562.52,561.12,549.72,545.11,539.88,536.25,534.84,527.74,524.34,518.24,485.48,477.82,477.27,470.13,467.56,459.78,456.41,488.41,538.79,444.92,470.67,472.6699995,513.95,444.47,572.73,461.6,478.94,526.69
2010,2010-05-07T00:00:00Z,0,Mississippi_River,15,493.3,482.9,19,2010-05-06T23:59:53Z,2010-05-06T23:59:46Z,432.13,522.26,573.81,437.59,594.09,546.15,482.46,436.21,462.17,441.07,538.84,505.17,504.89,486.04,483.3,459.96,459.04,443.49,438.89,438.89,430.19,430.19,532.32,438.01,443.18,603.18,594.19,591.71,587.14,582.98,575.44,572.14,562.62,561.06,550,545.29,539.84,535.91,534.78,528.02,523.6,518.08,486.77,477.97,477.4,469.88,467.4,459.74,456.38,484.78,538.77,439.74,470.4,469.4700002,513.12,439.36,572.23,459.49,475.57,525.81
2010,2010-04-21T00:00:00Z,0,Mississippi_River,17,457.2,437.1,16,2010-04-20T23:59:53Z,2010-04-20T23:59:46Z,433.29,524.53,574.97,438.81,595.87,546.16,484.26,437.69,463.74,441.75,538.71,504.35,504.54,484.77,483.23,459.66,458.9,443.85,440.11,440.11,431.59,431.59,533.86,439.34,443.16,603.09,596.24,592.29,589.05,582.94,577.21,571.98,563.49,561.15,551.58,544.38,541.93,537.2,536.88,528.03,525.46,518.12,487.82,480.15,479.59,471.29,470.23,459.78,459.27,484.56,540.67,440.85,472.13,469.2899999,513.05,438.39,573.32,458.92,474.83,525.85
2010,2010-06-05T00:00:00Z,0,Mississippi_River,11,615.1,583,23,2010-06-04T23:59:53Z,2010-06-04T23:59:46Z,437.98,522.35,573.17,443.27,593.48,545.85,481.98,441.67,462.18,446.55,538.8,505.52,504.83,488.07,483.45,460.88,458.95,449.07,444.73,444.73,436.2,436.2,531.85,443.74,448.51,603.12,593.65,591.83,586.12,582.92,574.5,571.91,562.15,560.97,549.07,545.09,539.26,536.04,534.05,527.89,523.67,518.2,485.73,477.85,477.29,469.67,467.79,459.13,457.05,486.6,538.26,445.55,470.32,470.7699999,513.65,443.76,572.25,461.29,487.2,526.38
2015,2015-10-28T00:00:00Z,0,Mississippi_River,22,305.8,305,43,2015-10-27T23:59:53Z,2015-10-27T23:59:46Z,429.72,519.89,572.69,431.15,593.42,545.59,480.35,430.51,459.83,440.73,539,505.08,504.92,483.91,483.14,459.31,458.96,441.72,440.05,432,429.14,421.42,529.64,431.37,441.67,603.47,593.52,592.41,585.31,583.29,573.7,572.03,561.43,560.64,547.62,545.52,537.78,536.08,530.89,528.08,520.66,518.41,481.29,479.79,472.45,470.53,461.5,459.45,450.85,483.58,537.23,440.39,470.54,467.8899998,512.23,436.01,568.84,455.86,471.84,524.78
2014,2014-06-05T00:00:00Z,0,Mississippi_River,22,313,312,23,2014-06-04T23:59:53Z,2014-06-04T23:59:46Z,430.2,525.89,577.96,435.23,599.42,548.19,485.15,433.64,466.53,441.28,538.94,505.03,504.9,484.61,483.27,459.24,458.95,442.56,440.28,435.96,428.58,428.38,535.92,435.48,442.22,602.77,600,593.45,593.02,582.6,581.24,571.53,565.78,560.73,554.98,546.07,545.52,539.85,539.59,528.22,527.76,518.19,488.57,481.33,480.95,473.8,473.25,462.67,462.02,483.92,544.15,440.7,474.39,468.8400001,512.96,445.8,571.14,459.29,473.5,525.77
2010,2010-09-03T00:00:00Z,0,Mississippi_River,22,314.3,312.8,36,2010-09-02T23:59:53Z,2010-09-02T23:59:46Z,429.83,523.17,574.55,432.03,595.34,545.75,484.08,431.38,463.63,441.07,538.68,505.46,505,485.76,483.24,459.6,458.89,442.02,440.41,432.4,429.42,423.2,532.93,431.65,442.84,603.03,595.7,592.03,588.87,582.92,576.7,571.89,563.2,561.09,550.77,544.67,540.82,536.45,535.76,527.85,524.61,518.13,487.77,480.04,479.28,470.82,469.85,459.91,458.78,484.83,539.65,440.6,471.76,468.98,512.08,440.27,571.96,458.95,475.2,525.14
2015,2015-07-21T00:00:00Z,0,Mississippi_River,22,302,301.2,29,2015-07-20T23:59:53Z,2015-07-20T23:59:46Z,446.6,522.7,574.01,450.15,594.92,545.77,483.19,448.79,464.17,453.12,538.92,505.24,504.98,490.52,483.18,461.79,458.56,454.56,451.83,451.83,445.18,445.18,532.65,450.92,454.23,603.04,595.21,591.91,588.05,582.8,575.88,572,562.68,560.9,550.39,544.93,540.43,535.95,535.29,528.07,524.24,518.14,486.36,479.12,478.6,471.12,470.54,460.52,459.63,488.38,539.24,452.58,471.82,470.8700003,514.94,449.79,572.87,462.63,478.86,527.25
2004,2004-03-04T00:00:00Z,0,Mississippi_River,22,308.8,308.8,10,2004-03-03T23:59:53Z,2004-03-03T23:59:46Z,430.2,520.95,573.48,433.51,594.58,545.91,481.67,432.06,461.06,441.43,538.87,504.91,504.77,485.15,483.31,459.72,458.99,442.98,440.6,434.9,429.32,423.87,531.33,434.03,442.64,603.1,594.95,592.19,587.5,582.93,575.22,571.78,562.65,561.19,549.83,545.43,539.48,536.14,533.4,527.95,522.21,518.27,483.96,480.23,474.87,470.2,464.7,459.65,453.63,484.58,538.46,440.97,470.34,468.9099998,512.99,437.81,571.01,458.11,472.93,525.32
2007,2007-05-31T00:00:00Z,0,Mississippi_River,22,307,305,22,2007-05-30T23:59:53Z,2007-05-30T23:59:46Z,431.02,521.52,573.58,435.01,594.32,545.97,481.15,433.73,461.63,441.23,538.68,504.67,504.73,485.16,483.4,459.49,458.99,442.54,439.53,436.16,430.02,425.5,531.92,435.56,442.45,603.16,594.54,592.21,586.84,583.05,575.04,572.26,562.46,561.12,549.12,545.5,539.15,536.28,533.91,528.02,522.77,518.35,484.42,477.92,476.27,470.06,466.58,459.79,455.42,484.11,538.32,440.06,470.43,468.4900002,512.94,436.91,570.29,457.78,474.93,526.16
2010,2010-05-14T00:00:00Z,0,Mississippi_River,18,437.1,410.5,20,2010-05-13T23:59:53Z,2010-05-13T23:59:46Z,433.81,525.78,574.85,440.21,595.57,546.47,489.65,438.63,468.1,445.35,538.74,505.2,504.71,491.15,483.19,464.02,458.99,452.88,441.4,441.4,431.9,431.9,534.71,440.47,451.39,603.15,595.96,591.91,589.52,583.3,577.09,572,563.54,561.12,552.13,544.91,542.37,538.14,537.84,527.76,527.29,517.95,493.18,485.41,484.58,476.73,475.92,463.92,463.42,489.54,541.16,442.31,477.55,475.9299998,514.88,447.88,576.74,461.81,487.8,530.98
2009,2009-11-19T00:00:00Z,0,Mississippi_River,22,305.4,306.2,47,2009-11-18T23:59:53Z,2009-11-18T23:59:46Z,439.79,522.73,573.56,442.58,594.08,545.71,483.43,441.58,464.88,444.32,538.78,504.69,504.77,486.06,483.43,459.83,459.04,446.09,443.17,443.17,438.61,438.61,532.07,442.75,446.02,603.1,594.25,591.91,586.85,583.02,575.09,571.89,562.42,561.04,549.58,544.92,539.5,535.92,534.68,528.03,523.9,518.32,486.63,479.64,479.04,472.17,471.4,460.93,460.36,485.34,538.56,443.64,472.79,469.3299999,513.41,452.97,571.53,470.21,481.11,532.29
2009,2009-07-28T00:00:00Z,0,Mississippi_River,22,312,311,30,2009-07-27T23:59:53Z,2009-07-27T23:59:46Z,430.41,521.43,572.91,434.11,593.21,545.4,480.49,433.02,461.37,441.01,538.84,504.58,504.69,483.2,483.35,459.19,458.95,442.08,440.18,434.83,429.65,425.21,531.37,434.19,441.74,602.71,593.16,592.14,585.45,583.45,574.21,572.02,562.01,561.17,548.43,544.78,538.85,535.82,533.79,527.76,522.65,518.23,483.44,478.16,475.45,470.17,465.4,460.05,454.45,484.01,537.82,440.52,470.37,468.5599999,512.21,436.71,571.89,457.63,476.33,525.04
2013,2013-09-10T00:00:00Z,0,Mississippi_River,22,320.4,319.4,37,2013-09-09T23:59:53Z,2013-09-09T23:59:46Z,429.7,519.15,572.33,430.49,592.62,545.09,480.03,429.67,459.97,440.56,538.84,504.85,504.94,483.83,483.3,458.86,458.87,441.21,440.2,430.9,429.23,420.43,528.93,430.17,440.62,603,592.65,591.95,584.33,583.07,572.99,571.98,561.51,561.09,546.24,545.05,536.78,535.78,529.46,527.89,519.55,518.18,480.35,479.79,471.23,470.22,460.83,459.71,450.01,483.48,536.44,440.41,470.24,467.5799999,511.65,436.12,568.29,455.62,472.62,524.06
2010,2010-08-12T00:00:00Z,0,Illinois_Waterway,DR,285.8,275.5,32,2010-08-11T23:59:53Z,2010-08-11T23:59:46Z,432.91,525.45,574.89,438.74,594.9,545.87,489.47,437.07,467.85,442.08,538.71,504.99,504.88,484.76,483.52,459.2,458.86,443.8,440.1,440.1,431.27,431.27,535.05,439.06,443.09,602.91,595.26,592.11,588.31,582.76,577.05,571.98,563.45,561.02,551.96,543.8,542.98,538.7,538.57,527.87,527.09,518.25,493.35,485.21,484.27,475.96,475.04,464.02,463.52,484.23,541.86,441.05,476.73,470.5999998,512.33,440.89,575.44,456.96,475.15,524.99
2010,2010-08-09T00:00:00Z,0,Illinois_Waterway,MA,271.3,262.2,32,2010-08-08T23:59:53Z,2010-08-08T23:59:46Z,432.99,525.46,574.82,439.37,595.34,546.85,487.96,437.45,467.51,443.56,538.74,505.86,504.95,487.19,483.29,459.99,459,445.73,441,441,431.29,431.29,534.71,439.82,445.62,603.3,595.62,592.57,589.08,583.51,577.07,572.21,563.27,561.03,551.82,544.14,542.68,538.18,538.03,527.49,527.12,518.16,491.53,483.97,483.13,475.2,474.3,463.83,463.33,485.36,541.51,442.18,475.98,471.19,512.58,437.83,576.62,457.02,472.86,524.34
2010,2010-08-12T00:00:00Z,0,Illinois_Waterway,DR,285.8,280.2,32,2010-08-11T23:59:53Z,2010-08-11T23:59:46Z,432.91,525.45,574.89,438.74,594.9,545.87,489.47,437.07,467.85,442.08,538.71,504.99,504.88,484.76,483.52,459.2,458.86,443.8,440.1,440.1,431.27,431.27,535.05,439.06,443.09,602.91,595.26,592.11,588.31,582.76,577.05,571.98,563.45,561.02,551.96,543.8,542.98,538.7,538.57,527.87,527.09,518.25,493.35,485.21,484.27,475.96,475.04,464.02,463.52,484.23,541.86,441.05,476.73,470.5999998,512.33,440.89,575.44,456.96,475.15,524.99
2010,2010-08-09T00:00:00Z,0,Illinois_Waterway,MA,260.1,253.3,32,2010-08-08T23:59:53Z,2010-08-08T23:59:46Z,432.99,525.46,574.82,439.37,595.34,546.85,487.96,437.45,467.51,443.56,538.74,505.86,504.95,487.19,483.29,459.99,459,445.73,441,441,431.29,431.29,534.71,439.82,445.62,603.3,595.62,592.57,589.08,583.51,577.07,572.21,563.27,561.03,551.82,544.14,542.68,538.18,538.03,527.49,527.12,518.16,491.53,483.97,483.13,475.2,474.3,463.83,463.33,485.36,541.51,442.18,475.98,471.19,512.58,437.83,576.62,457.02,472.86,524.34
2010,2010-08-09T00:00:00Z,0,Illinois_Waterway,MA,253.3,244.7,32,2010-08-08T23:59:53Z,2010-08-08T23:59:46Z,432.99,525.46,574.82,439.37,595.34,546.85,487.96,437.45,467.51,443.56,538.74,505.86,504.95,487.19,483.29,459.99,459,445.73,441,441,431.29,431.29,534.71,439.82,445.62,603.3,595.62,592.57,589.08,583.51,577.07,572.21,563.27,561.03,551.82,544.14,542.68,538.18,538.03,527.49,527.12,518.16,491.53,483.97,483.13,475.2,474.3,463.83,463.33,485.36,541.51,442.18,475.98,471.19,512.58,437.83,576.62,457.02,472.86,524.34
2010,2010-08-12T00:00:00Z,0,Illinois_Waterway,DR,280.2,271.5,32,2010-08-11T23:59:53Z,2010-08-11T23:59:46Z,432.91,525.45,574.89,438.74,594.9,545.87,489.47,437.07,467.85,442.08,538.71,504.99,504.88,484.76,483.52,459.2,458.86,443.8,440.1,440.1,431.27,431.27,535.05,439.06,443.09,602.91,595.26,592.11,588.31,582.76,577.05,571.98,563.45,561.02,551.96,543.8,542.98,538.7,538.57,527.87,527.09,518.25,493.35,485.21,484.27,475.96,475.04,464.02,463.52,484.23,541.86,441.05,476.73,470.5999998,512.33,440.89,575.44,456.96,475.15,524.99
2010,2010-08-06T00:00:00Z,0,Illinois_Waterway,SR,238.7,231.1,32,2010-08-05T23:59:53Z,2010-08-05T23:59:46Z,433.62,526.78,575.8,439.24,596.32,548.09,489.23,437.41,468.32,444.61,538.86,505.88,504.86,489.1,483.22,461.6,458.93,449.4,440.98,440.98,432.2,432.2,536.59,439.61,448.23,602.65,596.77,591.76,590.23,582.8,578.38,571.57,564.22,560.93,553.74,545.56,545.07,540.64,540.45,529.16,528.68,518.15,493.04,485.1,484.22,476.18,475.32,464.62,464.13,487.33,543.91,442.11,476.96,472.5999998,513.07,438.49,578.1,457.44,473.27,524.38
2010,2010-08-06T00:00:00Z,0,Illinois_Waterway,SR,238.6,231.1,32,2010-08-05T23:59:53Z,2010-08-05T23:59:46Z,433.62,526.78,575.8,439.24,596.32,548.09,489.23,437.41,468.32,444.61,538.86,505.88,504.86,489.1,483.22,461.6,458.93,449.4,440.98,440.98,432.2,432.2,536.59,439.61,448.23,602.65,596.77,591.76,590.23,582.8,578.38,571.57,564.22,560.93,553.74,545.56,545.07,540.64,540.45,529.16,528.68,518.15,493.04,485.1,484.22,476.18,475.32,464.62,464.13,487.33,543.91,442.11,476.96,472.5999998,513.07,438.49,578.1,457.44,473.27,524.38
2010,2010-08-06T00:00:00Z,0,Illinois_Waterway,SR,244.5,238.6,32,2010-08-05T23:59:53Z,2010-08-05T23:59:46Z,433.62,526.78,575.8,439.24,596.32,548.09,489.23,437.41,468.32,444.61,538.86,505.88,504.86,489.1,483.22,461.6,458.93,449.4,440.98,440.98,432.2,432.2,536.59,439.61,448.23,602.65,596.77,591.76,590.23,582.8,578.38,571.57,564.22,560.93,553.74,545.56,545.07,540.64,540.45,529.16,528.68,518.15,493.04,485.1,484.22,476.18,475.32,464.62,464.13,487.33,543.91,442.11,476.96,472.5999998,513.07,438.49,578.1,457.44,473.27,524.38
2010,2010-08-09T00:00:00Z,0,Illinois_Waterway,MA,271.3,260,32,2010-08-08T23:59:53Z,2010-08-08T23:59:46Z,432.99,525.46,574.82,439.37,595.34,546.85,487.96,437.45,467.51,443.56,538.74,505.86,504.95,487.19,483.29,459.99,459,445.73,441,441,431.29,431.29,534.71,439.82,445.62,603.3,595.62,592.57,589.08,583.51,577.07,572.21,563.27,561.03,551.82,544.14,542.68,538.18,538.03,527.49,527.12,518.16,491.53,483.97,483.13,475.2,474.3,463.83,463.33,485.36,541.51,442.18,475.98,471.19,512.58,437.83,576.62,457.02,472.86,524.34
2010,2010-08-12T00:00:00Z,0,Illinois_Waterway,DR,275.5,271.5,32,2010-08-11T23:59:53Z,2010-08-11T23:59:46Z,432.91,525.45,574.89,438.74,594.9,545.87,489.47,437.07,467.85,442.08,538.71,504.99,504.88,484.76,483.52,459.2,458.86,443.8,440.1,440.1,431.27,431.27,535.05,439.06,443.09,602.91,595.26,592.11,588.31,582.76,577.05,571.98,563.45,561.02,551.96,543.8,542.98,538.7,538.57,527.87,527.09,518.25,493.35,485.21,484.27,475.96,475.04,464.02,463.52,484.23,541.86,441.05,476.73,470.5999998,512.33,440.89,575.44,456.96,475.15,524.99
