SurveyDateBefore,SurveyDateAfter,NetVolumeChange_CY,AnnualShoalingRate_ftperyr,AnnualShoalingVolume_CYperyr,SurveyOverlapArea_sqft,SurveyOverlapPctReach,river,pool,reach,source_file,Before_date,After_date,DateDiff,DailyShoalingRate_ftperday,DailyShoalingVolume_Cyperday,VolChange_Cyperday,score
20240826,20240829,-10393.471,-33.359,-1264539.015,1023500,9.25,UM,18,10,UM_18_MVR_10_SurveyPairVolumeDifference.csv,2024-08-26,2024-08-29,3,-11.119666666666667,-421513.00499999995,-3464.490333333333,-21.635846224340312
20240826,20240829,-6358.098,-32.212,-773568.611,648400,4.64,UM,18,11,UM_18_MVR_11_SurveyPairVolumeDifference.csv,2024-08-26,2024-08-29,3,-10.737333333333334,-257856.20366666667,-2119.366,-13.244541609952046
20090923,20091006,-41350.238,-36.931,-1160987.459,848800,5.48,UM,18,12,UM_18_MVR_12_SurveyPairVolumeDifference.csv,2009-09-23,2009-10-06,13,-2.8408461538461536,-89306.72761538462,-3180.787538461538,-4.602371015030518
20110620,20110621,-1653.745,-47.808,-603616.888,340900,3.2,UM,19,12,UM_19_MVR_12_SurveyPairVolumeDifference.csv,2011-06-20,2011-06-21,1,-47.808,-603616.888,-1653.745,-34.162064471276636
20180808,20180828,187301.584,60.405,3418253.908,1527900,13.08,UM,20,3,UM_20_MVR_3_SurveyPairVolumeDifference.csv,2018-08-08,2018-08-28,20,3.02025,170912.6954,9365.0792,23.09282052308045
20200310,20200311,852.549,161.574,311180.328,52000,0.53,UM,21,7,UM_21_MVR_7_SurveyPairVolumeDifference.csv,2020-03-10,2020-03-11,1,161.574,311180.328,852.549,32.86116657190376
20130912,20130917,89069.856,137.282,6502099.511,1278800,6.66,UM,22,20,UM_22_MVR_20_SurveyPairVolumeDifference.csv,2013-09-12,2013-09-17,5,27.456400000000002,1300419.9022,17813.9712,43.169882712350486
20090616,20090617,2608.588,256.563,952134.767,100200,0.62,UM,22,14,UM_22_MVR_14_SurveyPairVolumeDifference.csv,2009-06-16,2009-06-17,1,256.563,952134.767,2608.588,31.596156754370128
20220711,20220803,444860.108,41.197,7059736.489,4626900,30.58,UM,24,1,UM_24_MVR_1_SurveyPairVolumeDifference.csv,2022-07-11,2022-08-03,23,1.7911739130434783,306945.06473913044,19341.743826086957,7.591754699322122
20070123,20070124,512.859,114.349,187193.717,44200,1.05,IL,DR,8,IL_DR_MVR_8_SurveyPairVolumeDifference.csv,2007-01-23,2007-01-24,1,114.349,187193.717,512.859,24.02586455042222
20210420,20210421,8937.368,991.867,3262139.369,88800,2.02,IL,LA,35,IL_LA_MVR_35_SurveyPairVolumeDifference.csv,2021-04-20,2021-04-21,1,991.867,3262139.369,8937.368,75.29055078437082
20040428,20040429,659.581,125.003,240747.053,52000,1.29,IL,LA,14,IL_LA_MVR_14_SurveyPairVolumeDifference.csv,2004-04-28,2004-04-29,1,125.003,240747.053,659.581,5.537472724212806
20230517,20230518,404.891,47.673,147785.151,83700,2.71,IL,LA,31,IL_LA_MVR_31_SurveyPairVolumeDifference.csv,2023-05-17,2023-05-18,1,47.673,147785.151,404.891,3.3913168700100047
20130508,20130515,13023.115,44.806,679062.448,409200,7.07,IL,MA,3,IL_MA_MVR_3_SurveyPairVolumeDifference.csv,2013-05-08,2013-05-15,7,6.400857142857142,97008.92114285714,1860.445,25.307467424333787
20230208,20230209,139.194,63.214,50805.66,21700,0.56,IL,MA,9,IL_MA_MVR_9_SurveyPairVolumeDifference.csv,2023-02-08,2023-02-09,1,63.214,50805.66,139.194,13.2250974732852
20040513,20040526,176995.256,78.493,4969482.185,1709400,31.68,IL,PE,58,IL_PE_MVR_58_SurveyPairVolumeDifference.csv,2004-05-13,2004-05-26,13,6.037923076923077,382267.8603846154,13615.019692307691,39.20955865880679
20040513,20040526,70567.824,42.272,1981327.363,1265500,27.52,IL,PE,59,IL_PE_MVR_59_SurveyPairVolumeDifference.csv,2004-05-13,2004-05-26,13,3.2516923076923074,152409.79715384616,5428.294153846154,15.607010168921784
20220525,20220613,145011.661,58.597,2785750.323,1283600,25.9,IL,PE,73,IL_PE_MVR_73_SurveyPairVolumeDifference.csv,2022-05-25,2022-06-13,19,3.0840526315789476,146618.43805263157,7632.192684210526,15.012335211308827
20160907,20160913,10077.309,56.414,613036.288,293400,6.68,IL,PE,57,IL_PE_MVR_57_SurveyPairVolumeDifference.csv,2016-09-07,2016-09-13,6,9.402333333333333,102172.71466666665,1679.5514999999998,10.448508619191138
20220525,20220613,91058.385,59.112,1749279.503,799000,24.55,IL,PE,72,IL_PE_MVR_72_SurveyPairVolumeDifference.csv,2022-05-25,2022-06-13,19,3.1111578947368423,92067.3422631579,4792.546578947368,9.41085721462543
20190625,20190627,885.99,62.636,161693.258,69700,1.59,IL,PE,57,IL_PE_MVR_57_SurveyPairVolumeDifference.csv,2019-06-25,2019-06-27,2,31.318,80846.629,442.995,8.258679104524097
20100810,20100811,33451.218,362.944,12209694.682,908300,18.42,IL,SR,11,IL_SR_MVR_11_SurveyPairVolumeDifference.csv,2010-08-10,2010-08-11,1,362.944,12209694.682,33451.218,33.25917556757428
