NetVolumeChange_CY,AnnualShoalingRate_ftperyr,AnnualShoalingVolume_CYperyr,SurveyOverlapArea_sqft,SurveyOverlapPctReach,river,pool,reach,source_file,Before_date,After_date,DateDiff,DailyShoalingVolume_Cyperday,VolChange_Cyperday,score,Omitted?,Surveys Associated,Reason
-50.105,-30.294,-18288.344,16300,0.45,IL,LA,68,IL_LA_MVR_68_SurveyPairVolumeDifference.csv,7/5/2023,7/6/2023,1,-18288,-50,-9,CEMVR_DIS_IL_LA_MVR_20230705_AD_14681473_23D,"CEMVR_DIS_IL_LA_MVR_20230705_AD_14681473_23D, CEMVR_DIS_IL_LA_MVR_20230706_BD_14731480_23B ",1day datediff
180221.058,45.853,424391.523,249900,6.64,IL,LA,69,IL_LA_MVR_69_SurveyPairVolumeDifference.csv,10/26/2009,3/30/2010,155,2738,1163,14,IL_LA_MVR_20100330_CS_14701485_10A,IL_LA_MVR_20100330_CS_14701485_10A,multibeam off channel
374.794,52.466,6218.17,3200,0.31,IL,LP,13,IL_LP_MVR_13_SurveyPairVolumeDifference.csv,2/6/2001,2/28/2001,22,283,17,12,IL_LP_MVR_20010228_CS_30303100_01A,IL_LP_MVR_20010228_CS_30303100_01A,full pool survey
95.469,44.59,165.148,100,0,IL,MA,26,IL_MA_MVR_26_SurveyPairVolumeDifference.csv,4/18/2023,11/15/2023,211,1,0,22,IL_MA_MVR_20230417_CS_27102714_23D,IL_MA_MVR_20230417_CS_27102714_23D,chamber overlap
95.469,44.59,165.148,100,0,IL,MA,26,IL_MA_MVR_26_SurveyPairVolumeDifference.csv,4/18/2023,11/15/2023,211,1,0,22,IL_MA_MVR_20230417_CS_27102714_23D,IL_MA_MVR_20230417_CS_27102714_23D,chamber overlap
-3779923.117,-196.014,-1810593.094,249400,5.45,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,7/31/2007,8/31/2009,762,-2376,-4961,-41,IL_PE_MVR_20090831_CS_15761580_09A,IL_PE_MVR_20090831_CS_15761580_09A,lock chamber in elevation
1838268.235,100.153,455511.138,122800,2.69,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,8/31/2009,9/12/2013,1473,309,1248,21,IL_PE_MVR_20090831_CS_15761580_09A,IL_PE_MVR_20090831_CS_15761580_09A,lock chamber in elevation
7703338.549,61.708,1163309.297,509000,11.13,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,8/31/2009,4/13/2016,2417,481,3187,13,IL_PE_MVR_20090831_CS_15761580_09A,IL_PE_MVR_20090831_CS_15761580_09A,lock chamber in elevation
9091950.61,53.619,1190729.09,599600,13.11,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,8/31/2009,4/18/2017,2787,427,3262,11,IL_PE_MVR_20090831_CS_15761580_09A,IL_PE_MVR_20090831_CS_15761580_09A,lock chamber in elevation
1611906.359,46.558,185715.221,107700,2.36,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,8/31/2009,5/4/2018,3168,59,509,10,IL_PE_MVR_20090831_CS_15761580_09A,IL_PE_MVR_20090831_CS_15761580_09A,lock chamber in elevation
8172983.256,36.574,731879.021,540300,11.82,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,8/31/2009,10/28/2020,4076,180,2005,8,IL_PE_MVR_20090831_CS_15761580_09A,IL_PE_MVR_20090831_CS_15761580_09A,lock chamber in elevation
-3779923.117,-196.014,-1810593.094,249400,5.45,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,7/31/2007,8/31/2009,762,-2376,-4961,-45,IL_PE_MVR_20090831_CS_15761580_09A,IL_PE_MVR_20090831_CS_15761580_09A,lock chamber in elevation
1838268.235,100.153,455511.138,122800,2.69,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,8/31/2009,9/12/2013,1473,309,1248,23,IL_PE_MVR_20090831_CS_15761580_09A,IL_PE_MVR_20090831_CS_15761580_09A,lock chamber in elevation
7703338.549,61.708,1163309.297,509000,11.13,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,8/31/2009,4/13/2016,2417,481,3187,14,IL_PE_MVR_20090831_CS_15761580_09A,IL_PE_MVR_20090831_CS_15761580_09A,lock chamber in elevation
9091950.61,53.619,1190729.09,599600,13.11,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,8/31/2009,4/18/2017,2787,427,3262,12,IL_PE_MVR_20090831_CS_15761580_09A,IL_PE_MVR_20090831_CS_15761580_09A,lock chamber in elevation
1611906.359,46.558,185715.221,107700,2.36,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,8/31/2009,5/4/2018,3168,59,509,11,IL_PE_MVR_20090831_CS_15761580_09A,IL_PE_MVR_20090831_CS_15761580_09A,lock chamber in elevation
8172983.256,36.574,731879.021,540300,11.82,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,8/31/2009,10/28/2020,4076,180,2005,8,IL_PE_MVR_20090831_CS_15761580_09A,IL_PE_MVR_20090831_CS_15761580_09A,lock chamber in elevation
8381.172,54.098,69525.629,34700,0.42,IL,PE,25,IL_PE_MVR_25_SurveyPairVolumeDifference.csv,4/21/2003,6/4/2003,44,1580,190,11,IL_PE_MVR_20030604_CS_18201880_03A,IL_PE_MVR_20030604_CS_18201880_03A,large cross section small tin length
885.99,62.636,161693.258,69700,1.59,IL,PE,57,IL_PE_MVR_57_SurveyPairVolumeDifference.csv,6/25/2019,6/27/2019,2,80847,443,13,IL_PE_MVR_20190625_CS_21482160_19B,"IL_PE_MVR_20190625_CS_21482160_19B, IL_PE_MVR_20190627_CS_21302148_19A",1day datediff
-6804.44,-71.217,-225783.696,85600,1.87,IL,PE,60,IL_PE_MVR_60_SurveyPairVolumeDifference.csv,6/1/2000,6/12/2000,11,-20526,-619,-15,IL_PE_MVR_20000612_CS_21782210_00C,"IL_PE_MVR_20000601_CS_21452178_00A, IL_PE_MVR_20000612_CS_21782210_00C",short datediff overlap
44.279,111.888,16161.658,3900,0.08,IL,SR,11,IL_SR_MVR_11_SurveyPairVolumeDifference.csv,9/25/2007,9/26/2007,1,16162,44,16,IL_SR_MVR_20070926_CS_24182428_07A,"·IL_SR_MVR_20070926_CS_24182428_07A, IL_SR_MVR_20070925_BD_23982418_07C",BD to short date diff
519.993,79.204,189797.29,64700,1.31,IL,SR,11,IL_SR_MVR_11_SurveyPairVolumeDifference.csv,5/14/2013,5/15/2013,1,189797,520,12,IL_SR_MVR_20130515_CS_24132417_13A,"IL_SR_MVR_20130515_CS_24132417_13A, ,IL_SR_MVR_20130514_CS_24042413_13A","1day datediff, singlebeam cross to multibeam"
-24.494,-67.052,-8940.324,3600,0.07,IL,SR,11,IL_SR_MVR_11_SurveyPairVolumeDifference.csv,10/5/2009,10/6/2009,1,-8940,-24,-10,IL_SR_MVR_20091005_BD_24022412_09D,"IL_SR_MVR_20091005_BD_24022412_09D,  IL_SR_MVR_20091006_BD_24122422_09C",1day datediff consecutive survey overlap
35990.964,63.553,2627340.347,1116200,22.63,IL,SR,11,IL_SR_MVR_11_SurveyPairVolumeDifference.csv,8/6/2010,8/11/2010,5,525468,7198,9,IL_SR_MVR_20100806_CS_23872445_10A,IL_SR_MVR_20100806_CS_23872445_10A,"short date diff, gaps in TIN, low res to multibeam comparison"
35990.964,63.553,2627340.347,1116200,22.63,IL,SR,11,IL_SR_MVR_11_SurveyPairVolumeDifference.csv,8/6/2010,8/11/2010,5,525468,7198,27,IL_SR_MVR_20100806_CS_23872445_10A,IL_SR_MVR_20100806_CS_23872445_10A,"short date diff, gaps in TIN, low res to multibeam comparison"
-150.678,-116.924,-54997.485,12700,0.26,IL,SR,13,IL_SR_MVR_13_SurveyPairVolumeDifference.csv,4/24/2006,4/25/2006,1,-54997,-151,-17,IL_SR_MVR_20060424_CS_24352445_06A,"IL_SR_MVR_20060424_CS_24352445_06A, IL_SR_MVR_20060425_CS_24252435_06A",short date diff
87990.857,73.982,1690350.681,616900,12.56,IL,SR,13,IL_SR_MVR_13_SurveyPairVolumeDifference.csv,3/6/2021,3/25/2021,19,88966,4631,11,IL_SR_MVR_20210306_BD_24382445_21A,IL_SR_MVR_20210306_BD_24382445_21A,duplicate survey?
-215988.293,-352.662,-2388961.427,182900,2.39,UM,11,2,UM_11_MVR_2_SurveyPairVolumeDifference.csv,8/30/2007,10/2/2007,33,-72393,-6545,-45,CEMVR_DIS_UM_11_MVR_20070830_CS_61246129_07A,CEMVR_DIS_UM_11_MVR_20070830_CS_61246129_07A,off channel area
1314.306,240.306,479721.845,53900,0.67,UM,11,5,UM_11_MVR_5_SurveyPairVolumeDifference.csv,4/12/2021,4/13/2021,1,479722,1314,30,UM_11_MVR_20210413_CS_60966110_21A,"UM_11_MVR_20210412_CS_60846096_21A, UM_11_MVR_20210413_CS_60966110_21A",1 day datediff
8544.232,31.155,346516.079,300300,3.14,UM,11,6,UM_11_MVR_6_SurveyPairVolumeDifference.csv,5/15/2023,5/24/2023,9,38502,949,4,UM_11_MVR_20230524_CS_60726080_23C,UM_11_MVR_20230524_CS_60726080_23C,off channel gap
21398.19,74.833,3905169.612,1409000,8.24,UM,11,19,UM_11_MVR_19_SurveyPairVolumeDifference.csv,8/2/2017,8/4/2017,2,1952585,10699,9,UM_11_MVR_20170804_CS_59475954_17D2,UM_11_MVR_20170804_CS_59475954_17D2,"weird crossections, short date diff"
11522.822,45.098,2102914.929,1259000,7.37,UM,11,19,UM_11_MVR_19_SurveyPairVolumeDifference.csv,8/2/2017,8/4/2017,2,1051457,5761,20,UM_11_MVR_20170804_CS_59475954_17D3,UM_11_MVR_20170804_CS_59475954_17D3,"weird crossections, short date diff"
9670.733,32.008,235321.163,198500,2.28,UM,12,15,UM_12_MVR_15_SurveyPairVolumeDifference.csv,5/7/2024,5/22/2024,15,15688,645,13,UM_12_MVR_20240522_OT,UM_12_MVR_20240522_OT,tons of wingdam surveys
-149.777,-42.784,-3644.584,2300,0.02,UM,12,22,UM_12_MVR_22_SurveyPairVolumeDifference.csv,5/19/2010,6/3/2010,15,-243,-10,-18,"UM_12_MVR_20100519_CS_55675830_10A,","UM_12_MVR_20100519_CS_55675830_10A, UM_12_MVR_20100603_CS_56155623_10A",off channel
18692.381,33.49,454847.929,366700,3.1,UM,12,22,UM_12_MVR_22_SurveyPairVolumeDifference.csv,3/25/2021,4/9/2021,15,30323,1246,14,UM_12_MVR_20210409_BD_56005625_21B_DNU,UM_12_MVR_20210409_BD_56005625_21B_DNU,omitted DNU survey
-149.777,-42.784,-3644.584,2300,0.02,UM,12,22,UM_12_MVR_22_SurveyPairVolumeDifference.csv,5/19/2010,6/3/2010,15,-243,-10,-20,"UM_12_MVR_20100519_CS_55675830_10A,","UM_12_MVR_20100519_CS_55675830_10A,",giant off channel
18692.381,33.49,454847.929,366700,3.1,UM,12,22,UM_12_MVR_22_SurveyPairVolumeDifference.csv,3/25/2021,4/9/2021,15,30323,1246,15,UM_12_MVR_20210409_BD_56005625_21B_DNU,UM_12_MVR_20210409_BD_56005625_21B_DNU,omitted DNU survey
-2195.855,-31.861,-66790.596,56600,0.49,UM,14,17,UM_14_MVR_17_SurveyPairVolumeDifference.csv,10/23/2023,11/4/2023,12,-5566,-183,-17,UM_14_MVR_20231023_CS_50575062_23A,UM_14_MVR_20231023_CS_50575062_23A,weird plot area
72573.776,49.394,913428.559,499300,5.53,UM,14,18,UM_14_MVR_18_SurveyPairVolumeDifference.csv,5/21/2001,6/19/2001,29,31498,2503,26,UM_14_MVR_20010521_CS_50205061_01A,UM_14_MVR_20010521_CS_50205061_01A,off channel
72573.776,49.394,913428.559,499300,5.53,UM,14,18,UM_14_MVR_18_SurveyPairVolumeDifference.csv,5/21/2001,6/19/2001,29,31498,2503,29,UM_14_MVR_20010521_CS_50205061_01A,UM_14_MVR_20010521_CS_50205061_01A,off channel
3462.602,141.3,54949.988,10500,0.09,UM,16,2,UM_16_MVR_2_SurveyPairVolumeDifference.csv,5/20/2014,6/12/2014,23,2389,151,45,UM_16_MVR_20140612_OT_4812_R,UM_16_MVR_20140612_OT_4812_R,wingdam survey\
13495.62,63.569,223904.603,95100,0.84,UM,16,12,UM_16_MVR_12_SurveyPairVolumeDifference.csv,6/21/2022,7/13/2022,22,10177,613,20,UM_16_MVR_20220713_CS_47144714_22F,"UM_16_MVR_20220713_CS_47144714_22F, UM_16_MVR_20220621_AD_47134715_22E",off channel small area with lots of overlap
223.769,35.799,7425.048,5600,0.04,UM,18,12,UM_18_MVR_12_SurveyPairVolumeDifference.csv,4/23/2020,5/4/2020,11,675,20,19,UM_18_MVR_20200423_OT_42594292_20A,UM_18_MVR_20200423_OT_42594292_20A,off channel survey
223.769,32.816,6806.294,5600,0.04,UM,18,12,UM_18_MVR_12_SurveyPairVolumeDifference.csv,4/22/2020,5/4/2020,12,567,19,19,UM_18_MVR_20200422_OT_42494272_20A,UM_18_MVR_20200422_OT_42494272_20A,off channel survey
3283.427,32.784,85603.628,70500,0.24,UM,18,24,UM_18_MVR_24_SurveyPairVolumeDifference.csv,7/30/2020,8/13/2020,14,6115,235,18,UM_18_MVR_20200730_CS_41304137_20C,"UM_18_MVR_20200730_CS_41304137_20C, UM_18_MVR_20200730_CS_41304137_20C",off channel survey
19234.549,34.668,540046.961,420600,4.42,UM,19,9,UM_19_MVR_9_SurveyPairVolumeDifference.csv,5/12/2016,5/25/2016,13,41542,1480,15,UM_19_MVR_20160525_CS_40194030_16B,"UM_19_MVR_20160512_CS_40154030_16A,UM_19_MVR_20160525_CS_40194030_16B",weird cross sections
-1653.745,-47.808,-603616.888,340900,3.2,UM,19,12,UM_19_MVR_12_SurveyPairVolumeDifference.csv,6/20/2011,6/21/2011,1,-603617,-1654,-22,UM_19_MVR_20110620_CS_39854000_11A,"UM_19_MVR_20110620_CS_39854000_11A, UM_19_MVR_20110621_CS_39703985_11A","small overlap, 1day datediff"
-1653.745,-47.808,-603616.888,340900,3.2,UM,19,12,UM_19_MVR_12_SurveyPairVolumeDifference.csv,6/20/2011,6/21/2011,1,-603617,-1654,-26,UM_19_MVR_20110620_CS_39854000_11A,"UM_19_MVR_20110620_CS_39854000_11A, UM_19_MVR_20110621_CS_39703985_11A","small overlap, 1day datediff"
-1070.883,-119.655,-18612.96,4200,0.03,UM,21,16,UM_21_MVR_16_SurveyPairVolumeDifference.csv,9/25/2022,10/16/2022,21,-886,-51,-39," UM_21_MVR_20220925_OT_32703290_22A,UM_21_MVR_20220925_OT_32703290_22A",,off channel area
557.495,39.244,5813.876,4000,0.03,UM,21,17,UM_21_MVR_17_SurveyPairVolumeDifference.csv,7/6/2024,8/10/2024,35,166,16,13,UM_21_MVR_20240706_OT_3268_R,"·UM_21_MVR_20240706_OT_3268_R, UM_21_MVR_20240810_CS_32693281_24A, UM_21_MVR_20240706_OT_3276_L",wingdam survey\
11373.544,40.171,296524.549,199300,1.24,UM,22,14,UM_22_MVR_14_SurveyPairVolumeDifference.csv,7/29/2014,8/12/2014,14,21180,812,14,UM_22_MVR_20140729_OT_31123118_L,"UM_22_MVR_20140812_CS_31143135_14B, UM_22_MVR_20140729_OT_31123118_L",off channel survey
817.096,70.885,18640.006,7100,0.04,UM,22,14,UM_22_MVR_14_SurveyPairVolumeDifference.csv,7/27/2014,8/12/2014,16,1165,51,24,UM_22_MVR_20140726_OT_3022_R,UM_22_MVR_20140726_OT_3022_R,wingdam survey\
1311.402,52.028,20811.382,10800,0.07,UM,22,21,UM_22_MVR_21_SurveyPairVolumeDifference.csv,7/8/2024,7/31/2024,23,905,57,18,UM_22_MVR_20240708_OT_3041_L,"20240708_OT_3041_L, ",wingdam survey\
8131.093,46.743,423978.439,244900,1.48,UM,22,21,UM_22_MVR_21_SurveyPairVolumeDifference.csv,4/26/2021,5/3/2021,7,60568,1162,16,UM_22_MVR_20210503_CS_30503060_21E," UM_22_MVR_20210426_AD_30503057_21D,UM_22_MVR_20210503_CS_30503060_21E",post dredge influence?
150946.425,37.333,1172243.515,847800,5.13,UM,22,21,UM_22_MVR_21_SurveyPairVolumeDifference.csv,3/17/2021,5/3/2021,47,24941,3212,13,UM_22_MVR_20210317_CS_30453065_21A,UM_22_MVR_20210317_CS_30453065_21A,wingdam/shoal overlap
444860.108,41.197,7059736.489,4626900,30.58,UM,24,1,UM_24_MVR_1_SurveyPairVolumeDifference.csv,7/11/2022,8/3/2022,23,306945,19342,7,UM_24_MVR_20220711_CS_30003010_22A,"UM_24_MVR_20220711_CS_30003010_22A,UM_24_MVR_20220803_CS_30003010_22B",giant shoal
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,missing from eHydro,,,,,,,,,,,,,,,
,,MVRUM24_30003010_08A,MVRUM24_30013011_08C,,,,,,,,,,,,,,
,,MVRIWPE_23022309_10B,MVRIWPE_22992309_10B,,,,,,,,,,,,,,
,,MVRUM18_42514255_10E,,,,,,,,,,,,,,,
